World Port Index Number;Main Port Name;Country Code;Digital Nautical Chart;Latitude;Longitude
19585.0;Port Chilkoot;United States;a2519520, coa25e, gen25b, h2519588;59.233333000000002;-135.433333000000005
28605.0;Salacgriva;Latvia;a2228610, coa22r, gen22e;57.700000000000003;24.366667000000000
44490.0;Zonguldak;Turkey;coa10b, gen10b;41.466667000000001;31.816666999999999
32590.0;Scalloway;United Kingdom;a2032600, coa20g, gen20b;60.133333000000000;-1.283333000000000
20420.0;Savoonga;United States;coa27b, gen27b;63.683332999999998;-170.400000000000006
4480.0;Rockport;United States;gen28a;45.200000000000003;-83.383332999999993
610.0;Paamuit (Frederikshab);Greenland;a1900610, coa19a, gen19b;62.000000000000000;-49.666666999999997
3980.0;Waubaushene;Canada;h1802740;44.766666999999998;-79.716667000000001
19380.0;Port Armstrong;United States;coa26d, gen26c;56.299999999999997;-134.666666999999990
19230.0;Rose Inlet;United States;coa26d, gen26c;54.950000000000003;-132.966667000000001
30910.0;Wilhelmshaven;Germany;a2130910, coa21b, gen21a, h2130910;53.533332999999999;8.166667000000000
23195.0;Tranneset;Norway;a2123160, coa21f, gen21a;60.416666999999997;5.016667000000000
20210.0;Port Heiden;United States;coa25c, gen25b;56.883333000000000;-158.699999999999989
25380.0;Stockholm;Sweden;coa22k, gen22d, h2225380;59.333333000000003;18.050000000000001
19730.0;Port Ashton;United States;a2519740, coa25d, gen25b;60.066667000000002;-148.050000000000011
1795.0;Port Aux Basques;Canada;a1801795, coa18d, gen18b, h1801795;47.566667000000002;-59.133333000000000
43572.0;Tulcea;Romania;gen10b;45.166666999999997;28.816666999999999
20175.0;Skoot Cove;United States;coa24k, gen24c, h2420170;52.716667000000001;174.066666999999995
32430.0;Whitehall;United Kingdom;coa20f, gen20b;59.133333000000000;-2.600000000000000
4290.0;Sault Ste Marie;Canada;gen28a;46.516666999999998;-84.349999999999994
19490.0;Todd;United States;coa25e, gen25b;57.466667000000001;-135.050000000000011
